Comune;Provincia;Nome italiano rifugio;Nome tedesco rifugio;Altitudine in metri;Proprietà;Telefono;E-Mail;Internet;Gruppo
AVELENGO;BOLZANO;Merano;Meraner-Hütte;1940;AVS;0473-279405;info@meranerhuette.it;www.meranerhuette.it;Monti Sarentini
BADIA;BOLZANO;Gardenaccia;Gardenazza-Hütte;2045;Privato;0471-840128;info@gardenacia.it;www.gardenacia.it;Odle - Puez - Sella
BADIA;BOLZANO;Santa Croce;Heilgkreuz;2045;Privato;0471-839632;s.croce@rolmail.net;www.lacrusc.com;Fanes - Sennes
BADIA;BOLZANO;Scotoni;Scotoni-Hütte;1985;Privato;0471-847330;info@scotoni.it;www.scotoni.it;Fanes - Sennes
BARBIANO;BOLZANO;Corno Renon;Rittner-Horn-Haus;2259;C.A.I.;0471-356207;;;Monti Sarentini
BRAIES;BOLZANO;Vallandro;Dürrensteinhütte;2040;Privato;0474-972505;info@vallandro.it;www.vallandro.it;Fanes - Sennes
BRENNERO;BOLZANO;Calciati al Tribulaun;Tribulaun-Hütte;2368;C.A.I.;0472-632470;info@tribulaunhuette.com;www.tribulaunhuette.com;Sesvenna - Alpi Venoste e Stubai - Tessa
BRENNERO;BOLZANO;Cima Gallina;Hühnerspiel-Hütte;1868;Privato;335-5666181;info@huehnerspielhuette;www.huehnerspielhuette.it;Alpi Aurine - Vedrette di Ries
BRENNERO;BOLZANO;Cremona alla Stua;Magdeburger-Hütte;2423;C.A.I.;0472-632472;;www.13rifugi.com;Sesvenna - Alpi Venoste e Stubai - Tessa
BRENNERO;BOLZANO;Genziana;Enzian-Hütte;1894;Privato;0472-631224;;;Alpi Aurine - Vedrette di Ries
BRESSANONE;BOLZANO;Plose;Plose-Hütte;2446;C.A.I.;0472-521333;plosehuette@dnet.it;www.plosehuette.com;Odle - Puez - Sella
BRESSANONE;BOLZANO;Schatzer;Schatzer-Hütte;2004;Privato;0472-521343;;www.schatzerhuette.com;Odle - Puez - Sella
CAMPO DI TRENS;BOLZANO;Simile Mahd;Simile-Mahd-Alm-Hütte;2011;Privato;0472-647162;;;Alpi Aurine - Vedrette di Ries
CAMPO TURES;BOLZANO;Roma;Kasseler-Hütte;2276;Provincia Autonoma di Bolzano;0474-672550;info@kasseler-huette.com;www.kasseler-huette.com;Alpi Aurine - Vedrette di Ries
CASTELROTTO;BOLZANO;Bullaccia;Puflatsch-Hütte;1950;Privato;0471-729090;info@dibaita-puflatschhuette.com;www.dibaita-puflatschhuette.com;Catinaccio - Sciliar - Sassolungo
CASTELROTTO;BOLZANO;Mahlknecht;Mahlknecht-Hütte;2054;Privato;0471-727912;info@mahlknechthuette.com;www.mahlknechthuette.com;Catinaccio - Sciliar - Sassolungo
CASTELROTTO;BOLZANO;Schlernbödele;Schlernbödele-Hütte;1700;AVS;0471-705345;;www.schlernboedelehuette.it;Catinaccio - Sciliar - Sassolungo
CHIUSA;BOLZANO;Chiusa;Klausner-Hütte;1923;C.A.I.;0472-545194;ramoser.robert@gmail.com;www.klausnerhuette.it;Monti Sarentini
CHIUSA;BOLZANO;Santa Croce;Latzfonser-Kreuz-Hütte;2302;Privato;0472-545017;info@latzfonserkreuz.com;www.latzfonserkreuz.com;Monti Sarentini
CORVARA IN BADIA;BOLZANO;Cavazza al Pisciadù;Pisciadù-Hütte;2585;C.A.I.;0471-836292;;;Odle - Puez - Sella
CORVARA IN BADIA;BOLZANO;Crëp de Munt;Crëp-de-Munt-Hütte;1959;Privato;349-0842885;info@crepdemunt;www.crepdemunt.it;Odle - Puez - Sella
CORVARA IN BADIA;BOLZANO;Franz Kostner al Vallon;Franz-Kostner-Hütte;2550;C.A.I.;333-8759838;info@rifugiokostner.it;www.rifugiokostner.it;Odle - Puez - Sella
CORVARA IN BADIA;BOLZANO;Puez;Puez-Hütte;2475;C.A.I.;0471-795365;info@rifugiopuez.it;www.rifugiopuez.it;Odle - Puez - Sella
CURON VENOSTA;BOLZANO;Pio XI;Weißkugel-Hütte;2542;Provincia Autonoma di Bolzano;0473-633191;info@weisskugel.it;www.weisskugel.it;Sesvenna - Alpi Venoste e Stubai - Tessa
